iter	Logloss
0	0.6723186807
1	0.6486751155
2	0.6308474626
3	0.6117297032
4	0.5937032255
5	0.5756698672
6	0.5614803276
7	0.5474396243
8	0.532781604
9	0.5216192169
10	0.5072806484
11	0.4969558345
12	0.4858267385
13	0.4740271093
14	0.4636013252
15	0.4559960193
16	0.4478736994
17	0.4389509017
18	0.4316536174
19	0.4246644222
20	0.4176921548
21	0.4125875166
22	0.4063681012
23	0.399836886
24	0.3945346429
25	0.3901371936
26	0.3848231398
27	0.3812531794
28	0.3771118769
29	0.3718515912
30	0.3675178357
31	0.3630918401
32	0.3593642375
33	0.3562560153
34	0.351731302
35	0.3480016513
36	0.345584547
37	0.3415991289
38	0.3391632861
39	0.3363434714
40	0.3337339174
41	0.3314166243
42	0.3294573647
43	0.3269823892
44	0.3235330653
45	0.3214508864
46	0.3200644838
47	0.3178801771
48	0.3148989286
49	0.3128702739
50	0.3107711869
51	0.3086138747
52	0.3073775989
53	0.3051404277
54	0.3033350766
55	0.3006566527
56	0.2987684255
57	0.2967912378
58	0.2952939918
59	0.2941687764
60	0.2928696043
61	0.2917899288
62	0.2904781866
63	0.2893366055
64	0.2878158274
65	0.2860950139
66	0.2850864669
67	0.2833783225
68	0.2824030682
69	0.2816255894
70	0.2797013779
71	0.2786673461
72	0.277838516
73	0.2770994342
74	0.2763958301
75	0.2751227809
76	0.2742635069
77	0.2734728014
78	0.2724972444
79	0.2718119909
80	0.2711079376
81	0.2704130809
82	0.2695989587
83	0.2691483354
84	0.2681329286
85	0.2676103687
86	0.2667567801
87	0.2661202175
88	0.2653110177
89	0.2647128393
90	0.2642524742
91	0.263657341
92	0.2623879743
93	0.2618198133
94	0.2613282577
95	0.2601588937
96	0.2590224607
97	0.2580560291
98	0.2574931747
99	0.2569919502
100	0.2564209679
101	0.2558703526
102	0.2550518438
103	0.2544447745
104	0.2539603175
105	0.2536227374
106	0.2531366224
107	0.2526795471
108	0.2522051333
109	0.2517882011
110	0.2513537489
111	0.2508507122
112	0.2504970868
113	0.2499995145
114	0.2493955673
115	0.2488742127
116	0.248502801
117	0.2481652777
118	0.2475975618
119	0.2468659666
120	0.2463888352
121	0.2461137447
122	0.245748383
123	0.2453176466
124	0.2450376035
125	0.2447354082
126	0.244230008
127	0.2436130907
128	0.2429540246
129	0.2425845721
130	0.2422546573
131	0.2418433996
132	0.2415058576
133	0.2412825769
134	0.2409662183
135	0.2403564518
136	0.240109443
137	0.2398536885
138	0.2396071659
139	0.23924624
140	0.2385925164
141	0.2383463353
142	0.2377794257
143	0.2375119147
144	0.2370736137
145	0.2368191643
146	0.2362482008
147	0.2359605577
148	0.235190181
149	0.2349635601
150	0.2344862403
151	0.2342765239
152	0.2337346732
153	0.2335168295
154	0.2332973658
155	0.2330991998
156	0.2327421664
157	0.2324709001
158	0.2321016454
159	0.2314820822
160	0.2313214654
161	0.2311086173
162	0.230811973
163	0.2305940012
164	0.2301621458
165	0.2298519094
166	0.2297019655
167	0.2294063879
168	0.2291220387
169	0.2289116736
170	0.2286505035
171	0.2282584155
