iter	Passed	Remaining
412	3534	5024
413	3544	5016
414	3554	5010
415	3563	5003
416	3572	4994
417	3580	4985
418	3590	4978
419	3599	4970
420	3608	4963
421	3617	4955
422	3626	4947
423	3641	4946
424	3649	4938
425	3659	4930
426	3670	4925
427	3680	4918
428	3690	4911
429	3699	4903
430	3708	4895
431	3717	4888
432	3726	4880
433	3735	4871
434	3743	4862
435	3752	4854
436	3761	4846
437	3769	4837
438	3778	4827
439	3786	4819
440	3795	4810
441	3803	4802
442	3812	4793
443	3822	4786
444	3830	4777
445	3839	4769
446	3848	4761
447	3857	4753
448	3866	4744
449	3874	4734
450	3882	4726
451	3891	4718
452	3900	4709
453	3908	4700
454	3928	4705
455	3941	4702
456	3955	4699
457	3974	4703
458	3988	4700
459	3996	4691
460	4009	4687
461	4021	4683
462	4032	4677
463	4042	4669
464	4051	4661
465	4060	4653
466	4070	4645
467	4079	4637
468	4088	4628
469	4097	4620
470	4106	4611
471	4116	4605
472	4127	4599
473	4138	4592
474	4148	4584
475	4156	4576
476	4165	4567
477	4174	4558
478	4182	4549
479	4191	4541
480	4200	4532
481	4208	4522
482	4217	4514
483	4227	4506
484	4236	4498
485	4245	4489
486	4254	4481
487	4263	4473
488	4272	4464
489	4280	4455
490	4289	4446
491	4297	4437
492	4306	4428
493	4315	4420
494	4324	4411
495	4332	4402
496	4342	4394
497	4351	4386
498	4360	4378
499	4369	4369
500	4377	4360
501	4387	4352
502	4397	4344
503	4406	4336
504	4416	4328
505	4424	4320
506	4433	4311
507	4441	4302
508	4453	4295
509	4463	4288
510	4472	4279
511	4481	4271
512	4490	4263
513	4498	4253
514	4507	4244
515	4517	4237
516	4527	4229
517	4536	4221
518	4544	4212
519	4553	4203
520	4562	4194
521	4570	4185
522	4578	4175
523	4587	4166
524	4595	4158
525	4604	4148
526	4612	4139
527	4620	4130
528	4629	4122
529	4638	4113
530	4647	4104
531	4656	4096
532	4665	4087
533	4674	4079
534	4682	4070
535	4690	4060
536	4699	4051
537	4707	4042
538	4715	4032
539	4723	4023
540	4731	4014
541	4740	4005
542	4748	3996
543	4756	3986
544	4764	3977
545	4772	3968
546	4780	3959
547	4788	3949
548	4797	3940
549	4805	3931
550	4813	3922
551	4821	3912
552	4830	3904
553	4838	3895
554	4847	3886
555	4855	3877
556	4863	3867
557	4870	3858
558	4878	3848
559	4886	3839
560	4894	3829
561	4901	3820
562	4909	3810
563	4918	3801
564	4926	3793
565	4936	3784
566	4944	3776
567	4954	3768
568	4963	3759
569	4971	3750
570	4981	3742
571	4990	3733
572	5000	3726
573	5010	3718
574	5019	3709
575	5028	3701
576	5036	3692
577	5044	3682
578	5051	3673
579	5060	3664
580	5068	3655
581	5076	3646
582	5084	3636
583	5092	3627
584	5100	3618
585	5108	3608
586	5116	3599
587	5124	3590
588	5132	3581
589	5140	3572
590	5148	3563
591	5156	3554
592	5165	3545
593	5174	3536
594	5182	3527
595	5191	3519
596	5199	3510
597	5208	3501
598	5216	3492
599	5225	3483
600	5233	3474
601	5241	3465
602	5249	3455
603	5257	3447
604	5265	3437
605	5273	3428
606	5282	3420
607	5291	3411
608	5300	3403
609	5308	3394
610	5316	3384
611	5324	3375
612	5333	3366
613	5341	3357
614	5349	3348
615	5356	3339
616	5364	3330
617	5373	3321
618	5381	3312
619	5389	3303
620	5398	3294
621	5406	3285
622	5414	3276
623	5422	3267
624	5429	3257
625	5438	3249
626	5445	3239
627	5453	3230
628	5461	3221
629	5471	3213
630	5479	3204
631	5487	3195
632	5496	3186
633	5504	3177
634	5513	3168
635	5520	3159
636	5528	3150
637	5536	3141
638	5544	3132
639	5551	3122
640	5559	3113
641	5567	3104
642	5575	3095
643	5582	3086
644	5591	3077
645	5598	3067
646	5606	3059
647	5615	3050
648	5623	3041
649	5630	3031
650	5638	3022
651	5646	3013
652	5654	3004
653	5662	2995
654	5670	2986
655	5679	2978
656	5687	2969
657	5695	2960
658	5703	2951
659	5711	2942
660	5719	2933
